Asset;1 Day;7 Days;30 Days;YTD
LINK;4.04411764705881;3.19051959890608;25.7777777777778;4.1877588587206
ARB;2.24205937305377;4.01267159450898;9.51745608183236;-33.9900817584774
SOL;2.089166487185;5.36260072242285;7.80690282595093;-2.4088943792465
RENDER;2.05088265835929;-1.10691823899372;-5.59558117195006;-45.2354416271942
LDO;1.9522776572668;6.41509433962264;35.5769230769231;-21.9269102990033
ENA;1.89046427578536;-0.448186880347679;93.6080295826731;-23.574184130956
BTC;0.0329038055837616;0.788590294279912;-1.50775028453344;24.0918054304714
ETH;-0.393740694272082;3.78747693997585;27.1830698300483;31.5919628137293
TRX;-1.36131593874079;3.75894988066825;10.2027883396705;35.912465806956
AAVE;-1.46666666666667;-3.95425155148325;-8.10743596120375;-7.57878939469736
