Asset;1 Day;7 Days;30 Days;YTD
LINK;4,04;3,19;25,78;4,19
ARB;2,24;4,01;9,52;-33,99
SOL;2,09;5,36;7,81;-2,41
RENDER;2,05;-1,11;-5,60;-45,24
LDO;1,95;6,42;35,58;-21,93
ENA;1,89;-0,45;93,61;-23,57
BTC;0,03;0,79;-1,51;24,09
USDT;0,00;0,00;0,00;0,00
ETH;-0,39;3,79;27,18;31,59
TRX;-1,36;3,76;10,20;35,91
AAVE;-1,47;-3,95;-8,11;-7,58
